,Subzone,School,College,Medical,Recreation,Transport,Shop,Food,lscore,Density
236,FERNVALE,0.14583333333333334,0.10975609756097561,0.1111111111111111,0.11570247933884298,0.16339869281045752,0.2193877551020408,0.23387096774193547,20.030147633801203,25433.92204545393
237,CLEMENTI CENTRAL,0.3541666666666667,0.18292682926829268,0.5,0.34710743801652894,0.26143790849673204,0.47959183673469385,0.31048387096774194,44.390390547169865,18590.36472510702
238,MARINA EAST (MP),0.0,0.012195121951219513,0.0,0.3884297520661157,0.06535947712418301,0.0663265306122449,0.12903225806451613,12.052841027865579,0.0
239,TENGEH,0.0,0.012195121951219513,0.009259259259259259,0.049586776859504134,0.026143790849673203,0.00510204081632653,0.012096774193548387,2.0846202822794253,0.0
240,YIO CHU KANG,0.4583333333333333,0.6097560975609756,0.19444444444444445,0.3140495867768595,0.2222222222222222,0.1326530612244898,0.1532258064516129,37.992941917527524,21.845018788670046
241,TOA PAYOH WEST,0.5208333333333334,0.34146341463414637,0.6574074074074074,0.33884297520661155,0.30718954248366015,0.4489795918367347,0.4153225806451613,55.22182708914309,13751.30950241867
242,MEI CHIN,0.14583333333333334,0.6463414634146342,0.2222222222222222,0.3140495867768595,0.2222222222222222,0.4489795918367347,0.3387096774193548,42.61608946276173,20657.419751983725
243,KHATIB,0.2916666666666667,0.17073170731707318,0.32407407407407407,0.19834710743801653,0.13725490196078433,0.14285714285714285,0.14919354838709678,25.772136406346487,7105.431835805034
244,YISHUN EAST,0.4583333333333333,0.17073170731707318,0.6111111111111112,0.1487603305785124,0.24836601307189543,0.32653061224489793,0.3790322580645161,42.69823349266254,34103.67311478781
245,YIO CHU KANG EAST,0.4583333333333333,0.6097560975609756,0.19444444444444445,0.3140495867768595,0.2222222222222222,0.1326530612244898,0.1532258064516129,37.992941917527524,2240.7107501680907
246,XILIN,0.041666666666666664,0.024390243902439025,0.037037037037037035,0.10743801652892562,0.0784313725490196,0.2857142857142857,0.33064516129032256,16.49931923948415,223.16083203179005
247,HENDERSON HILL,0.5208333333333334,0.6707317073170732,0.28703703703703703,0.36363636363636365,0.35947712418300654,0.3520408163265306,0.23790322580645162,50.87741511016738,22220.828704317315
248,SENGKANG WEST,0.5,0.3048780487804878,0.25925925925925924,0.21487603305785125,0.477124183006536,0.3163265306122449,0.17338709677419356,40.930169637206184,5.947880484018288
249,SENOKO SOUTH,0.0,0.024390243902439025,0.018518518518518517,0.15702479338842976,0.0457516339869281,0.030612244897959183,0.05241935483870968,5.990795048573512,17.106866098871716
250,SAMULUN,0.0,0.0,0.009259259259259259,0.049586776859504134,0.0457516339869281,0.015306122448979591,0.020161290322580645,2.5526569731080953,5.118365307753585
251,KAMPONG BUGIS,0.16666666666666666,0.12195121951219512,0.12962962962962962,0.3884297520661157,0.7320261437908496,0.2857142857142857,0.4032258064516129,40.59833904955052,1232.5345036411059
252,DOVER,0.7083333333333334,1.0,0.10185185185185185,0.2727272727272727,0.1503267973856209,0.12244897959183673,0.20967741935483872,46.753254925203336,7937.0895491602605
253,NORTH-EASTERN ISLANDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7385262351338553
254,THE WHARVES,0.020833333333333332,0.04878048780487805,0.018518518518518517,0.08264462809917356,0.0196078431372549,0.015306122448979591,0.036290322580645164,4.41005800734844,0.0
255,BOAT QUAY,0.4791666666666667,0.6463414634146342,0.5277777777777778,0.9256198347107438,0.7908496732026143,0.8112244897959183,0.907258064516129,92.73207760532466,803.0136290990889
256,BAYSHORE,0.10416666666666667,0.08536585365853659,0.08333333333333333,0.23140495867768596,0.17647058823529413,0.09183673469387756,0.1774193548387097,17.31350646238244,2901.517595188987
257,PUNGGOL TOWN CENTRE,0.25,0.25609756097560976,0.12037037037037036,0.2231404958677686,0.1895424836601307,0.3010204081632653,0.2217741935483871,28.46613176112225,18638.245039502894
258,TANJONG IRAU,0.020833333333333332,0.0,0.0,0.008264462809917356,0.013071895424836602,0.0,0.012096774193548387,0.9889950399256069,0.0
259,MARINA CENTRE,0.7291666666666666,0.7195121951219512,0.46296296296296297,0.8842975206611571,0.8562091503267973,0.7346938775510204,0.8588709677419355,95.60203345360338,11.199134073353875
260,ORANGE GROVE,0.4791666666666667,0.3048780487804878,0.23148148148148148,0.38016528925619836,0.35947712418300654,0.14285714285714285,0.3467741935483871,40.91101165010184,5288.26844967447
261,FARRER PARK,0.2916666666666667,0.3170731707317073,0.5740740740740741,0.39669421487603307,0.7647058823529411,0.3877551020408163,0.6532258064516129,61.694472549435154,10658.909108506996
262,PASIR RIS WEST,0.25,0.14634146341463414,0.1111111111111111,0.35537190082644626,0.29411764705882354,0.34183673469387754,0.13709677419354838,29.813492782002832,22451.626590359097
263,JURONG RIVER,0.020833333333333332,0.036585365853658534,0.009259259259259259,0.06611570247933884,0.0457516339869281,0.030612244897959183,0.024193548387096774,4.252774997405458,3.8786297965674486
264,GALI BATU,0.0625,0.04878048780487805,0.018518518518518517,0.06611570247933884,0.0196078431372549,0.015306122448979591,0.024193548387096774,4.647726913047653,5.745992417182776
265,KOVAN,0.4583333333333333,0.32926829268292684,0.24074074074074073,0.34710743801652894,0.3006535947712418,0.27040816326530615,0.3024193548387097,40.986297734215185,12647.001499432576
266,LEEDON PARK,0.10416666666666667,0.06097560975609756,0.1388888888888889,0.18181818181818182,0.0915032679738562,0.2602040816326531,0.1774193548387097,18.49772721629235,3121.1398614258355
267,PANG SUA,0.14583333333333334,0.10975609756097561,0.1111111111111111,0.24793388429752067,0.11764705882352941,0.20408163265306123,0.08064516129032258,18.534764139264006,9.132343799824964
268,TAMPINES NORTH,0.08333333333333333,0.17073170731707318,0.018518518518518517,0.10743801652892562,0.16339869281045752,0.10204081632653061,0.056451612903225805,12.792212774145911,3140.357832259446
269,JOO KOON,0.0625,0.08536585365853659,0.046296296296296294,0.04132231404958678,0.058823529411764705,0.025510204081632654,0.0967741935483871,7.592309589962618,12.684027606028964
270,PEI CHUN,0.5416666666666666,0.2682926829268293,0.4351851851851852,0.33884297520661155,0.3006535947712418,0.3826530612244898,0.1532258064516129,44.113472531854626,25013.667060068638
271,MONK'S HILL,0.4791666666666667,0.3780487804878049,0.6759259259259259,0.4793388429752066,0.45098039215686275,0.7091836734693877,0.5,66.93317736867147,5958.002872889048
272,TUAS BAY,0.0,0.08536585365853659,0.027777777777777776,0.03305785123966942,0.0392156862745098,0.04081632653061224,0.024193548387096774,4.563980734193654,3.1009330274784457
273,TIONG BAHRU STATION,0.5,0.5853658536585366,0.3148148148148148,0.32231404958677684,0.42483660130718953,0.4387755102040816,0.5201612903225806,56.61108974275662,42814.74617893195
274,INTERNATIONAL BUSINESS PARK,0.08333333333333333,0.15853658536585366,0.2037037037037037,0.19834710743801653,0.19607843137254902,0.5816326530612245,0.2862903225806452,31.126525345293604,20.47977977947318
275,TAGORE,0.041666666666666664,0.12195121951219512,0.009259259259259259,0.08264462809917356,0.0915032679738562,0.030612244897959183,0.08064516129032258,8.352102192365876,2368.4421545195883
276,GUL CIRCLE,0.041666666666666664,0.0975609756097561,0.027777777777777776,0.04132231404958678,0.026143790849673203,0.030612244897959183,0.028225806451612902,5.345505959436505,6.093246544964437
277,CHINA SQUARE,0.5625,0.6341463414634146,0.5370370370370371,0.9834710743801653,0.8169934640522876,0.673469387755102,1.0,94.90774112303195,10679.417965582836
278,MOUNT PLEASANT,0.20833333333333334,0.2926829268292683,0.037037037037037035,0.09917355371900827,0.08496732026143791,0.025510204081632654,0.06854838709677419,14.876036645615356,218.07086471609136
279,TAMAN JURONG,0.20833333333333334,0.12195121951219512,0.12037037037037036,0.32231404958677684,0.13725490196078433,0.09693877551020408,0.0846774193548387,19.898557941800092,26715.14759871265
280,BOULEVARD,0.4166666666666667,0.7317073170731707,0.5555555555555556,0.859504132231405,0.7450980392156863,0.6020408163265306,0.8870967741935484,87.43652411405922,884.2856456400675
281,KAMPONG UBI,0.16666666666666666,0.14634146341463414,0.1388888888888889,0.1487603305785124,0.2875816993464052,0.19387755102040816,0.2620967741935484,24.498008870431683,6240.962657909454
282,TELOK BLANGAH RISE,0.22916666666666666,0.2926829268292683,0.12962962962962962,0.3140495867768595,0.29411764705882354,0.19387755102040816,0.27419354838709675,31.487292744409295,22614.56601887669
283,FAJAR,0.25,0.2682926829268293,0.3055555555555556,0.2727272727272727,0.2679738562091503,0.34183673469387754,0.125,33.37663040622426,41340.15851465113
284,KEAT HONG,0.5625,0.5121951219512195,0.2962962962962963,0.2727272727272727,0.3464052287581699,0.35714285714285715,0.21774193548387097,46.74674973366526,33156.44189832817
285,TUAS NORTH,0.0,0.08536585365853659,0.027777777777777776,0.03305785123966942,0.0392156862745098,0.04081632653061224,0.024193548387096774,4.563980734193654,9.140585571597919
286,TUAS VIEW,0.0,0.08536585365853659,0.027777777777777776,0.03305785123966942,0.0392156862745098,0.04081632653061224,0.024193548387096774,4.563980734193654,1.7501020205568776
